time,patchID,bWeightHuman,bWeightZoo,bWeightZootox,kappa
183,1,497,0,0,0.000302420586604167
183,2,491,0,0,0.000612250010959628
183,3,5,0,0,0
183,4,1,0,0,0
183,5,0,0,0,0
183,6,1,0,0,0
183,7,0,0,0,0
183,8,0,0,0,0
183,9,0,0,0,0
184,1,497,0,0,0.000302419357317111
184,2,493,0,0,0.000609761156208843
184,3,3,0,0,0
184,4,2,0,0,0
184,5,0,0,0,0
184,6,0,0,0,0
184,7,0,0,0,0
184,8,0,0,0,0
184,9,0,0,0,0
185,1,496,0,0,0.000303029071284914
185,2,493,0,0,0.000609756107821925
185,3,4,0,0,0
185,4,2,0,0,0
185,5,0,0,0,0
185,6,0,0,0,0
185,7,0,0,0,0
185,8,0,0,0,0
185,9,0,0,0,0
186,1,494,0,0,0.000304257143868998
186,2,493,0,0,0.000914015732470227
186,3,5,0,0,0
186,4,3,0,0,0
186,5,0,0,0,0
186,6,0,0,0,0
186,7,0,0,0,0
186,8,0,0,0,0
186,9,0,0,0,0
187,1,491,0,0,0.000306118649987513
187,2,495,0,0,0.000910937405520142
187,3,5,0,0,0
187,4,3,0,0,0
187,5,1,0,0,0
187,6,0,0,0,0
187,7,0,0,0,0
187,8,0,0,0,0
187,9,0,0,0,0
188,1,489,0,0,0.000307374475766846
188,2,495,0,0,0.000910931186677818
188,3,4,0,0,0
188,4,4,0,0,0
188,5,1,0,0,0
188,6,2,0,0,0
188,7,0,0,0,0
188,8,0,0,0,0
188,9,0,0,0,0
189,1,491,0,0,0.000306124998932315
189,2,494,0,0,0.000912775164345502
189,3,3,0,0,0
189,4,4,0,0,0
189,5,0,0,0,0
189,6,3,0,0,0
189,7,0,0,0,0
189,8,0,0,0,0
189,9,0,0,0,0
190,1,493,0,0,0.000304880578091141
190,2,495,0,0,0.00091093489932191
190,3,3,0,0,0
190,4,3,0,0,0
190,5,0,0,0,0
190,6,1,0,0,0
190,7,0,0,0,0
190,8,0,0,0,0
190,9,0,0,0,0
191,1,492,0,0,0.000305497724752218
191,2,495,0,0,0.000910931181614792
191,3,4,0,0,0
191,4,2,0,0,0
191,5,0,0,0,0
191,6,2,0,0,0
191,7,0,0,0,0
191,8,0,0,0,0
191,9,0,0,0,0
192,1,494,0,0,0.000304262141143223
192,2,495,0,0,0.000910931174104272
192,3,4,0,0,0
192,4,0,0,0,0
192,5,0,0,0,0
192,6,2,0,0,0
192,7,0,0,0,0
192,8,0,0,0,0
