time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9
272,Z,0.0501436977507563,0.154461460798723,4.54293869132448e-13,1.18601429332972e-12,6.23174031731753e-13,4.54293869132448e-13,1.18601429332972e-12,6.23174031731753e-13,4.54293869132448e-13
273,M,179.049515058458,182.709393520061,0,0,0,0,0,0,0
273,Y,0.15015198576218,0.468103017987931,0,0,0,0,0,0,0
273,Z,0.0499020322279543,0.153545201006115,4.08864482219203e-13,1.06741286399675e-12,5.60856628558578e-13,4.08864482219203e-13,1.06741286399675e-12,5.60856628558578e-13,4.08864482219203e-13
274,M,172.844563552613,183.338454168055,0,0,0,0,0,0,0
274,Y,0.149411750009961,0.466464519269666,0,0,0,0,0,0,0
274,Z,0.0496306562300471,0.152627228772811,3.67978033997283e-13,9.60671577597077e-13,5.0477096570272e-13,3.67978033997283e-13,9.60671577597077e-13,5.0477096570272e-13,3.67978033997283e-13
275,M,177.160107197351,188.404608751249,0,0,0,0,0,0,0
275,Y,0.149013429247804,0.466335496882485,0,0,0,0,0,0,0
275,Z,0.0493481438013231,0.151981349940474,3.31180230597555e-13,8.64604419837369e-13,4.54293869132448e-13,3.31180230597555e-13,8.64604419837369e-13,4.54293869132448e-13,3.31180230597555e-13
276,M,178.344096477616,199.264147876124,0,0,0,0,0,0,0
276,Y,0.148722479287834,0.46890683513297,0,0,0,0,0,0,0
276,Z,0.0491389795841407,0.15114754613492,2.98062207537799e-13,7.78143977853632e-13,4.08864482219203e-13,2.98062207537799e-13,7.78143977853632e-13,4.08864482219203e-13,2.98062207537799e-13
277,M,180.309686829855,198.237733088512,0,0,0,0,0,0,0
277,Y,0.148742070348692,0.470867185965493,0,0,0,0,0,0,0
277,Z,0.0488467655178564,0.150410805234113,2.68255986784019e-13,7.00329580068269e-13,3.67978033997283e-13,2.68255986784019e-13,7.00329580068269e-13,3.67978033997283e-13,2.68255986784019e-13
278,M,174.878718146869,201.813959779661,0,0,0,0,0,0,0
278,Y,0.148281703548026,0.489924076284786,0,0,0,0,0,0,0
278,Z,0.0484720963635779,0.149567393362068,2.41430388105617e-13,6.30296622061442e-13,3.31180230597555e-13,2.41430388105617e-13,6.30296622061442e-13,3.31180230597555e-13,2.41430388105617e-13
279,M,177.190846332182,200.532563801695,0,0,0,0,0,0,0
279,Y,0.148058063678613,0.506416671732843,0,0,0,0,0,0,0
279,Z,0.0480280605638013,0.149286476237332,2.17287349295056e-13,5.67266959855298e-13,2.98062207537799e-13,2.17287349295056e-13,5.67266959855298e-13,2.98062207537799e-13,2.17287349295056e-13
280,M,173.871761698964,197.579307421525,0,0,0,0,0,0,0
280,Y,0.147583030493046,0.52028816155468,0,0,0,0,0,0,0
280,Z,0.047826384029046,0.148759705970166,1.9555861436555e-13,5.10540263869768e-13,2.68255986784019e-13,1.9555861436555e-13,5.10540263869768e-13,2.68255986784019e-13,1.9555861436555e-13
281,M,166.384585529068,196.721376679373,0,0,0,0,0,0,0
281,Y,0.146454847733125,0.532487638346746,0,0,0,0,0,0,0
281,Z,0.0477062697371396,0.14821986934763,1.76002752928995e-13,4.59486237482791e-13,2.41430388105617e-13,1.76002752928995e-13,4.59486237482791e-13,2.41430388105617e-13,1.76002752928995e-13
282,M,165.946126976161,198.649239011435,0,0,0,0,0,0,0
282,Y,0.145430970490023,0.544094510920523,0,0,0,0,0,0,0
